Blog Post,Author Number
"1 Hour delays are cool, unless you still have to do like 15 chemistry practice problems. Oh well looks like i'll be in the library again during newspaper. Very close to finishing my chemistry project though, so that is good, but then i got to get started on Around the World.",4
"Ok, listem to Laney Pope today she might have something accurate to say, on account of the snow falling from the sky.",4
"Still working on the chemistry project, not that hard but still takes a long time (8 pages)   I got $20 and a pocket knife for valentines. Funny i didn't know that violent weapons were a customary gift on valentines day, but I'm not complaining.",4
"Like I said, don't count on snow.......stupid Laney Pope.   Well back to writing a research paper on Enology.",4
"Hopefully there will be no school tomorrow but i wouldn't count on it, last time WXII said 100% chance of snow we got nothing.   Well i got to go work on this Chemistry paper so i can have time to watch the OC.",4
Writing tests are retarded.......  Along with chemistry projects and most importantly projects that force you to travel around the world in 80 days.   Other Things that are retarded include....  People that steal candy bars Dramatic People languages other than English The Perfect Score  Things that are not retarded include.....  The OC Splinter Cell Mt. Tabor gangs War Movies Fight Clubs The Boondock Saints Coldplay,4
"Ok nothing happened that was crazy, except I chipped a back tooth, oh and I actually figured out what we are doing in math.   So you know who is the man, Chen, the president of Taiwan. That guy faked an assassination so he could win an election. Now I don't know about you but that shows dedication. I mean if Bush or Kerry took a bullet for their job, I would support them. Holla.",4
"So Daniel who do you want to win the election? I get that question alot, ok maybe not but stay with me here.  Basically I when I was a young and ignorant youth I liked Bush, yeah ok he had a pretty good start, he handled September 11th pretty well, but the economy is pretty bad now a days and this whole WMD thing really is starting to make me question our reason for war (not saying that going into Iraq was bad.) I don't think that he will win the election but I wouldn't be surprised if Bush ""happens"" to find Bin Laden around about September or October, to seal the deal election, but right now it looks like he is in an uphill battle.   Kerry on the other hand seems to have alot more expierience and I like that his is not so much of a cowboy when it comes to foreign policy (not that I really care/know about foreign policy)",4
I finally got around to seeing The Passion of the Christ. It is a well done movie and i think is gonna go on my list of movies you need to see before you die.,4
"My chemistry teacher must think it is funny to make me stress this much, I mean she gives me all this crap to do today, I mean it was due today and everything but still....the nerve.",4
"Well I'm finally back from camping and all I can say is ""don't ever let Will Bullins handel a gun"" he is quite the shot. Now I got to go do my project for spanish.",4
"I'm gonna be gone for the weekend, that I why I'm going on a posting rampage, and because I've had nothing to do all day.",4
I am finally done with my costume for my around the world in 80 days project. I'm gonna go celebrate by working on another project.,4
"Many of you may have seen that my brother hacked my blog and changed my pictre to one of richard dean anderson, or McGuyver. Please disreguard any of this stuff.",4
"Well my Blog has had a face life. Now there is a retarded picture of me, i could make a better one but I'm just way too lazy.",4
I've been totally bogged down in H/W this week and thanks to Mr. Mecham I have to do a project this weekend also. Ugh oh how I loath large armed spanish teachers.,4
Yeah i'm going camping this weekend. Its gonna be not fun/fun. Not fun because the stuff we're doing is gonna be boring until we go shooting wich with be fun.,4
"I found out I got an A in Chemistry, how cool is that. Another cool thing is that I am about to be done with my Around the World in Eighty Days project, speaking of that I got to go work on it.",4
"Way to go Sean May, you alone drew 3 fouls in 30 seconds. General Failure.   Back to my life:  Me and Will both agree that if your invited to the Prom by someone you should be greatful and nice about it. Because if your not we're gonna break your knee cap(s) and slap you. Oh and don't worry if your not greatful you'll be spending most of your night at home anyway, that is if you can keep your date. I'm not going to Prom so this really doesn't pertain to me, but I still find it comial the way some people act.",4
"Christine got in a car wreck, she is ok though but it was crazy. Will and I went to her house, it was fun we just chilled really.  Go Heels",4
"my dad got a new car (Camry XLE) so i get the 98 Accord, holla.",4
"I made a 104 on my math test, now i just can't screw up on my test friday and I am FREE AT LAST!",4
"Well i realized I'm not cool like other bloggers becuase I don't post about ""meaningful"" stuff. Well too bad, they can deal with it. Anyway, looks like the message board it dying, but oh well.   My b-day is coming up but i don't get my liscense till april (hopefully, depending on my grades and such)",4
"Well basketball seasons over, our team lost to first pres in the simi finals, but we put up a valiant effort and i had a pretty good game. I'm tired now, i'm going to bed.",4
"I'm sorry but the person who wrote the article they are talking about in this article (sorry if that sounds confusing) is a general failure at everything. They say that Pat Tillman was not a hero, just an idiot. I don't care if your a democrat or a republican you should support your country and those who die for you to live in it. Pat Tillman gave up a job which made him millions so that he could fight for the freedom of you and me. So to the author of that article i have just this to say to you.... Get a life you waste of space.    urlLink SI.com - NFL - UMass president criticizes student's column on felled soldier - Thursday April 29, 2004 2:13PM",4
"urlLink Schoolzone not metaphors   my favorite is ""He was as tall as a six-foot-three-inch tree.""",4
"Ha. Don't you love it when people try to attack you using a blog. It's a joke, you need to get over it. People have jokes about other people all the time. Matt Sedlack makes fun of me, he even has a pretty good impersonation. But do i go and cry about it. No, you know why? Cause i take it like a man. Now if you wanna cry and be a little nancy boy go ahead, but don't whine to me.",4
"Of course i am the kid in the green sirt, but and well i'll have a set charecter for alex and adam but the rest of them you just have to decide for yourselves who they are.",4
"This guy is a street hokey god. Seriously if you can do this show me, i'll give you 20 bucks just to see it.    urlLink CollegeHumor.com : New Funny Pictures, Funny Movies, and Funny Hotlinks Daily!",4
Yea this is one of the cooler things i've seen in a while   urlLink HumanDescent -> Gallery,4
Are my pictues awesome or what?   urlLink Mr. Picassohead,4
"who ever came up with the idea of a highway in the South Pole is a complete idiot. No seriously we could be spending money to cure cancer but no, some people think it would be more beneficial to spend money building a road through a continent with a population of about 6.   urlLink CNN.com - 'Ice highway' opens Earth's last frontier - Apr 12, 2004",4
"Finally Phil has one a major, and everyone is happy......everyone, but John Daly. Yes the PGA's good ol' boy who claimed that he was gonna give everyone a run for their money at the Masters didn't even make the cut. But we can't blame John for this i mean, his wife was just convicted of money laundering and he was probably smashed by the 9th hole anyway.     urlLink SI.com - Mickelson's major pursuit ends with Masters - Sunday April 11, 2004 6:47PM",4
Yes I got my license. That is all.,4
The apprentice is the greatest show ever. I mean who would have thought that desk jobs could be so cool. Essentially the show is water cooler drama at its finest.,4
"I being the 16 year old that i am have already had my 15 minutes of fame. It all started when I was on a family trip to NYC, 1 month after 9/11. My family and I decided to take a trip to NBC and tour the studios. The tour was great but once we got out we saw on the news ticker ""NBC Employee has anthrax.""  Mom: ""Oh that's just lovely""   Well we get out and are about to walk away from the scene when my dad who was alread tired began to pass out (we later found out it was also from the blood pressure medicine that he takes) Ok so i'm flipping out and the media think that I am a complete retard that thinks he has anthrax (not to say that there wern't people like that in the crowd)  3 days later i arrive back in NC, and one of my best friend's sister (who was my bro's friend) calls and asks if we were in NYC that week, he says yes and she told us that her mom was in Canada and I had made the front page of the Globe and Mail, one of the largest newspapers in Canada, (The picture was huge too)   Don't believe me, check out this search of gettyimages.com   http://editorial.gettyimages.com/source/CFW/imageResults.aspx?s=ImagesAdvancedSearchState|2|15||0||1|||||0|0|0|| 0|Justin+Sullivan|7|anthrax|513023||0  I am the last row, middle picture. Oh and just incase your wondering, i have that newspaper still.",4
"I have to go take my liscense test soon, but I'm not sure when. You wouldn't believe how nervous I am, probably because I hit a car in ""in-car"" so I kind of want to redeem myself. But if I do well I'll hopefully have my liscense soon.",4
"Yeah looks like I'm gonna be the master of ceremonies for the fashion show on day eighty. I guess that is cool, but there are gonna be a ton of people there.  So who is this cool cat that is telling all the Shiites (sp?) to kill Americans in Iraq. Regardless of the backlash I think that the US needs to take that cool guy down.",4
Isn't my blog in spanish awesome    urlLink Translated version of http://catchyname.blogspot.com/,4
"I got splinter cell: Pandora Tomorrow, and I must say it is stunning, and the online is awesome also.",4
So Summer is finally here. This means that I start work next wednesday and that I am actaully gonna be raking in some dough. Word Up.,4
"So i have 3 more exams to go. So far I'm doing pretty well, and I even made 2 bucks playing poker at Brad's this afternoon. It was quite fun I must say.",4
Gotta give props to Hank Wirth for finding this gem.    urlLink Apple - Trailers - Lost Boys of Sudan,4
"So as another year passes I feel like I have learned a plethora of new information about life and about myself, so I thought I would share some of it:  I can become excruciatingly annoying jobs are hard to come by xbox's are not meant to be dropped onto the pavement do not sit near Alex pento when he has a full bottle of gatorade  The OC rocks true playas rock the Daniel herring look (collard shirt, pot head haircut, cargo shorts) poker is a great way to lose money la caretta is rater good drivers tests are way to easy to stress over the holocaust was bad, but you get tired of it REALLY fast gandalf will not help you get out of the boat (I'm not a LOTR freak, I just hallucinate) delux 247 is real",4
"So I walk into third lunch and Alex is in his normal ""hey there is a group of people, lets make fun of Daniel"" mood. I sit down, don't really say anything and Alex decideds it would be funny if we got a black guy that could literally annihilate me, but I thought he really wasn't gonna act on it, that was until John Kincaid opened his mouth.   John: Hey Jeremy come over here""  Jeremy (black guy):what up  Neal: This kid (pointing at me) was talking trash about you  Jeremy: WHAT?  Daniel: Oh S#!T  Jeremy: What did he say?  Daniel: I didn't say anything, I don't even know you.    We go back and fourth trying to decide if i said anyting, until Adam Kincaid opens his mouth   Adam: He called you a N@#$%R!  Jeremy: You called me what?  Daniel: I swear I didn't  Jeremy: Hey Corey come over here   This is where I actually get a break, I have known Corey since I was in 9th and I wrote and article about him this year   Corey: Nah I know Daniel he wouldn't say that.   Daniel: Thank you Jesus  So after that I go into the lunch line and look over and see this Jeremy guy make a cut throat sign to me, which yet again made me think I was going to die. But I was pretty sure he was kidding with me.",4
It's So true   urlLink Hahahahaha,4
Probably a hoax but it would be cool to see if the creators of the matrix could actually come up with something as good as the first one.    urlLink Geiri3d: The Matrix Reentered,4
This is the coolest flash movie ever.    urlLink Banana Phone,4
"urlLink Xbox.com :: EA + Xbox Live = Gaming Powerhouse   So it looks like EA and Xbox live are partners, very cool. But unfortunately i now must go to school.",4
"So Blogger FINALLY Added some new templates.   In other news, I think I finally got a job at Arbor Acres, washing dishes for $7.50/hour.",4
"So I just got to thinking if Dave Chappelle had a show about Mount Tabor it would probably look something like this:  1st Skit: World Series of Pat (For the black people, and Nick Jennings) 2nd Skit: World Series of Texas Hold'em Poker (for the white people) Skits 3-7:Mrs. Baily, an in depth look 8th Skit: Tyrone Biggums visits Tabor, gives up crack, starts smoking weed 9th Skit: Mr. Baily replaces Lil' John in his signature skits 10th Skit: Tyrone Biggums visits Reynolds and becomes an alcoholic 11th skit: Wayne Brady comes and is overwhelmed by all the whiteness.",4
"Well, i really haven't been that vocal on my feelings about the election, i have stated that I support Kerry but I have realized that politics are best left for the class room not a friendly setting such as poker or eating out. So basically I don't really like bush but i really don't like Michael Moore. This guy made Farenheit 9/11 and he is a totaly jerk, essentailly he made it to get out the anti-bush vote, not to really look at the facts. Head on over to www.moorewatch.com and check out what they have to say.    Please note I am planning on going to go see this movie and will report back about what I saw.   Ok so thats it, oh i go the court date on tuesday, gonna be crazy down at city hall when D nasty gets in the defendents chair.",4
"Unlike 90% of my friends, I am not in Daytona so i will be here all week not doing much until thursday.",4
"So while all most of my friends are in Daytona Beach I am here, not doing anything because the people at work gave me 3 consecutive days off starting Monday which sucks cause i really wanted some hours.",4
"So I started work last week, its ok, I mean I'm getting payed 7.50/hr to serve people food, and usually I can leave an hour early if I want. 21 days till my court date, that means I have 3 weeks to acquire 150 bucks. That shouldn't be too hard.",4
"So I got a speeding ticket saturday, 18 over on shatalon (that is a 63 in a 45) but it looks like i'm not gonna need to get a lawyer. Apparently in Forsyth county they are leanient on first time speeding offenders, so all i'm gonnna have to do is take Alive at 25 class and then pay a fine, but it won't go on my insurance and is whiped from my record.",4
"Well i'm bout to go down to the beach for a week, definately won't be posting anything, not that I have lately anyway.",4
"urlLink MilkandCookies - Barney 2Pac   This is great, the best part is when the asian kid yells something, it looks almost voiced over exactly.",4
"So I got my head shaved on my chruch mission trip, thought i'de show everyone, please note i am terrible at taking pics of myself       Old Me       New me",4
